timestamp,voltage_V,current_A,power_W,resistance_ohm,temp_C,dp_V,dm_V,energy0_mWh,energy1_mWh
1772794325.4165053,5.1044,0.8665200000000001,4.4192,0.58,21.0,0.03,0.03,0,227829
1772794326.7665925,5.1023000000000005,0.9017200000000001,4.5987,0.56,21.0,0.03,0.03,0,227831
1772794328.1166103,5.1033,1.08244,5.5204,0.47000000000000003,21.0,0.04,0.04,0,227834
1772794329.4666204,5.1058,0.96045,4.8982,0.53,21.0,0.04,0.04,0,227835
1772794330.7979128,5.104,1.08993,5.5586,0.46,21.0,0.04,0.04,0,227837
1772794332.1666715,5.1086,1.06775,5.4455,0.47000000000000003,21.0,0.04,0.04,0,227840
1772794333.497948,5.102,1.1608500000000002,5.9203,0.43,21.0,0.04,0.04,0,227841
1772794334.866747,5.1054,1.06426,5.427700000000001,0.47000000000000003,21.0,0.04,0.04,0,227843
1772794336.1980712,5.1081,0.98865,5.0421000000000005,0.51,21.0,0.04,0.04,0,227846
1772794337.54805,5.1103000000000005,1.03515,5.2896,0.49,21.0,0.03,0.03,0,227848
1772794338.8980093,5.1092,1.10928,5.6573,0.46,21.0,0.03,0.03,0,227849
1772794340.2480626,5.1092,1.1543800000000002,5.887300000000001,0.44,21.0,0.04,0.04,0,227852
1772794341.5980442,5.1058,1.1076400000000002,5.6489,0.46,21.0,0.04,0.04,0,227854
1772794342.9481003,5.1014,1.2582200000000001,6.4169,0.4,21.0,0.04,0.04,0,227856
1772794344.298088,5.1066,1.1621100000000002,5.9267,0.43,21.0,0.04,0.04,0,227859
1772794345.6293535,5.1016,1.06606,5.4369000000000005,0.47000000000000003,21.0,0.04,0.04,0,227860
1772794346.979347,5.1048,1.12266,5.7255,0.45,21.0,0.04,0.04,0,227862
1772794348.3294075,5.1047,1.2215600000000002,6.229900000000001,0.41000000000000003,21.0,0.04,0.04,0,227865
1772794349.679385,5.1031,1.15833,5.9074,0.44,21.0,0.04,0.03,0,227867
1772794351.0293736,5.103400000000001,1.13327,5.7796,0.45,21.0,0.04,0.04,0,227870
1772794352.3795965,5.1023000000000005,1.16023,5.9171000000000005,0.43,21.0,0.04,0.04,0,227871
1772794353.7107058,5.1041,1.1355300000000002,5.7912,0.44,21.0,0.04,0.04,0,227873
1772794355.0606902,5.097300000000001,1.10779,5.6386,0.46,21.0,0.04,0.04,0,227876
1772794356.4294438,5.107,1.10766,5.649,0.46,21.0,0.04,0.04,0,227878
1772794357.7982128,5.0995,1.1189500000000001,5.6954,0.45,21.0,0.04,0.04,0,227879
1772794359.1482568,5.1059,1.1335300000000001,5.781000000000001,0.45,21.0,0.04,0.04,0,227882
