timestamp,voltage_V,current_A,power_W,resistance_ohm,temp_C,dp_V,dm_V,energy0_mWh,energy1_mWh
1772794621.611203,5.0995,0.8878600000000001,4.5192000000000005,0.5700000000000001,21.0,0.03,0.03,0,228275
1772794622.9613497,5.1039,1.04837,5.3466000000000005,0.48,21.0,0.03,0.03,0,228277
1772794624.3114069,5.0937,1.22554,6.237900000000001,0.41000000000000003,21.0,0.04,0.04,0,228280
1772794625.6613955,5.1005,1.11403,5.681500000000001,0.45,21.0,0.03,0.04,0,228282
1772794627.0115387,5.1181,1.0208300000000001,5.2164,0.5,21.0,0.04,0.04,0,228283
1772794628.3614287,5.105300000000001,1.09443,5.5815,0.46,21.0,0.04,0.04,0,228286
1772794629.7114477,5.1269,0.9318200000000001,4.7709,0.55,21.0,0.04,0.04,0,228288
1772794631.0426981,5.1014,1.05821,5.3968,0.48,21.0,0.04,0.04,0,228291
1772794632.392714,5.0966000000000005,1.12498,5.726100000000001,0.45,21.0,0.04,0.04,0,228293
1772794633.7426946,5.0894,1.3023200000000001,6.6157,0.39,21.0,0.04,0.04,0,228294
1772794635.0927107,5.0986,1.1095300000000001,5.6475,0.45,21.0,0.04,0.03,0,228297
1772794636.4242551,5.102,1.16201,5.926200000000001,0.43,21.0,0.04,0.04,0,228299
1772794637.773984,5.1008000000000004,1.09704,5.5949,0.46,21.0,0.04,0.04,0,228301
1772794639.1240556,5.1059,1.3803100000000001,7.0395,0.36,21.0,0.04,0.04,0,228304
1772794640.4740467,5.1039,1.1562700000000001,5.8969000000000005,0.44,21.0,0.04,0.04,0,228306
1772794641.8615646,5.0959,1.11179,5.659000000000001,0.45,21.0,0.04,0.04,0,228307
1772794643.1928244,5.0873,1.22541,6.2250000000000005,0.41000000000000003,21.0,0.04,0.04,0,228310
1772794644.5430021,5.1080000000000005,1.2427000000000001,6.3377,0.41000000000000003,21.0,0.03,0.04,0,228312
1772794645.8928957,5.1189,1.30753,6.6814,0.39,21.0,0.04,0.04,0,228314
1772794647.2428772,5.096900000000001,1.00688,5.125,0.5,21.0,0.04,0.04,0,228317
